,sample,Depth_bin,subtype,count,proportion,group
72,DLE1,"(0.6, 0.7]",ORS,0,0.0,DLE
73,DLE1,"(0.6, 0.7]",Spinous KC-4,3,0.1162340178225494,DLE
74,DLE1,"(0.6, 0.7]",HF-SG,0,0.0,DLE
75,DLE1,"(0.6, 0.7]",OB,0,0.0,DLE
76,DLE1,"(0.6, 0.7]",Stress KC,1,0.03874467260751647,DLE
77,DLE1,"(0.6, 0.7]",IRS,0,0.0,DLE
78,DLE1,"(-0.001, 0.1]",Spinous KC-3,68,2.63463773731112,DLE
79,DLE1,"(-0.001, 0.1]",Granular KC,33,1.2785741960480435,DLE
80,DLE1,"(-0.001, 0.1]",Basal KC,3,0.1162340178225494,DLE
81,DLE1,"(-0.001, 0.1]",Spinous KC-2,1,0.03874467260751647,DLE
82,DLE1,"(-0.001, 0.1]",Channel KC,0,0.0,DLE
83,DLE1,"(-0.001, 0.1]",Spinous KC-1,1,0.03874467260751647,DLE
84,DLE1,"(-0.001, 0.1]",Cycling KC,0,0.0,DLE
85,DLE1,"(-0.001, 0.1]",ORS,0,0.0,DLE
86,DLE1,"(-0.001, 0.1]",Spinous KC-4,1,0.03874467260751647,DLE
87,DLE1,"(-0.001, 0.1]",HF-SG,1,0.03874467260751647,DLE
88,DLE1,"(-0.001, 0.1]",OB,0,0.0,DLE
89,DLE1,"(-0.001, 0.1]",Stress KC,0,0.0,DLE
90,DLE1,"(-0.001, 0.1]",IRS,0,0.0,DLE
91,DLE1,"(0.2, 0.3]",Spinous KC-3,152,5.889190236342503,DLE
92,DLE1,"(0.2, 0.3]",Granular KC,3,0.1162340178225494,DLE
93,DLE1,"(0.2, 0.3]",Basal KC,5,0.19372336303758234,DLE
94,DLE1,"(0.2, 0.3]",Spinous KC-2,1,0.03874467260751647,DLE
95,DLE1,"(0.2, 0.3]",Channel KC,0,0.0,DLE
96,DLE1,"(0.2, 0.3]",Spinous KC-1,0,0.0,DLE
97,DLE1,"(0.2, 0.3]",Cycling KC,0,0.0,DLE
98,DLE1,"(0.2, 0.3]",ORS,0,0.0,DLE
99,DLE1,"(0.2, 0.3]",Spinous KC-4,0,0.0,DLE
100,DLE1,"(0.2, 0.3]",HF-SG,0,0.0,DLE
101,DLE1,"(0.2, 0.3]",OB,0,0.0,DLE
102,DLE1,"(0.2, 0.3]",Stress KC,0,0.0,DLE
103,DLE1,"(0.2, 0.3]",IRS,0,0.0,DLE
104,DLE1,"(0.8, 0.9]",Spinous KC-3,125,4.843084075939558,DLE
105,DLE1,"(0.8, 0.9]",Granular KC,2,0.07748934521503294,DLE
106,DLE1,"(0.8, 0.9]",Basal KC,253,9.802402169701667,DLE
107,DLE1,"(0.8, 0.9]",Spinous KC-2,14,0.5424254165052306,DLE
108,DLE1,"(0.8, 0.9]",Channel KC,10,0.38744672607516467,DLE
109,DLE1,"(0.8, 0.9]",Spinous KC-1,6,0.2324680356450988,DLE
110,DLE1,"(0.8, 0.9]",Cycling KC,19,0.7361487795428129,DLE
111,DLE1,"(0.8, 0.9]",ORS,1,0.03874467260751647,DLE
112,DLE1,"(0.8, 0.9]",Spinous KC-4,9,0.3487020534676482,DLE
113,DLE1,"(0.8, 0.9]",HF-SG,1,0.03874467260751647,DLE
114,DLE1,"(0.8, 0.9]",OB,4,0.15497869043006587,DLE
115,DLE1,"(0.8, 0.9]",Stress KC,4,0.15497869043006587,DLE
116,DLE1,"(0.8, 0.9]",IRS,0,0.0,DLE
117,DLE1,"(0.9, 1.0]",Spinous KC-3,80,3.0995738086013174,DLE
118,DLE1,"(0.9, 1.0]",Granular KC,1,0.03874467260751647,DLE
119,DLE1,"(0.9, 1.0]",Basal KC,166,6.431615652847733,DLE
120,DLE1,"(0.9, 1.0]",Spinous KC-2,9,0.3487020534676482,DLE
121,DLE1,"(0.9, 1.0]",Channel KC,10,0.38744672607516467,DLE
122,DLE1,"(0.9, 1.0]",Spinous KC-1,4,0.15497869043006587,DLE
123,DLE1,"(0.9, 1.0]",Cycling KC,33,1.2785741960480435,DLE
124,DLE1,"(0.9, 1.0]",ORS,1,0.03874467260751647,DLE
125,DLE1,"(0.9, 1.0]",Spinous KC-4,24,0.9298721425803952,DLE
126,DLE1,"(0.9, 1.0]",HF-SG,0,0.0,DLE
127,DLE1,"(0.9, 1.0]",OB,1,0.03874467260751647,DLE
128,DLE1,"(0.9, 1.0]",Stress KC,2,0.07748934521503294,DLE
129,DLE1,"(0.9, 1.0]",IRS,1,0.03874467260751647,DLE
130,DLE2,"(0.5, 0.6]",Spinous KC-3,291,3.4287734181689644,DLE
131,DLE2,"(0.5, 0.6]",Granular KC,42,0.4948745139625309,DLE
132,DLE2,"(0.5, 0.6]",Basal KC,4,0.04713090609166961,DLE
133,DLE2,"(0.5, 0.6]",Spinous KC-2,2,0.023565453045834805,DLE
134,DLE2,"(0.5, 0.6]",Channel KC,2,0.023565453045834805,DLE
135,DLE2,"(0.5, 0.6]",Spinous KC-1,8,0.09426181218333922,DLE
136,DLE2,"(0.5, 0.6]",Cycling KC,12,0.14139271827500885,DLE
137,DLE2,"(0.5, 0.6]",ORS,1,0.011782726522917402,DLE
138,DLE2,"(0.5, 0.6]",Spinous KC-4,91,1.0722281135854836,DLE
139,DLE2,"(0.5, 0.6]",HF-SG,0,0.0,DLE
140,DLE2,"(0.5, 0.6]",OB,0,0.0,DLE
141,DLE2,"(0.5, 0.6]",Stress KC,2,0.023565453045834805,DLE
142,DLE2,"(0.5, 0.6]",IRS,1,0.011782726522917402,DLE
143,DLE2,"(0.1, 0.2]",Spinous KC-3,184,2.168021680216802,DLE
144,DLE2,"(0.1, 0.2]",Granular KC,235,2.7689407328855897,DLE
145,DLE2,"(0.1, 0.2]",Basal KC,40,0.4713090609166961,DLE
146,DLE2,"(0.1, 0.2]",Spinous KC-2,3,0.03534817956875221,DLE
147,DLE2,"(0.1, 0.2]",Channel KC,3,0.03534817956875221,DLE
148,DLE2,"(0.1, 0.2]",Spinous KC-1,8,0.09426181218333922,DLE
149,DLE2,"(0.1, 0.2]",Cycling KC,1,0.011782726522917402,DLE
150,DLE2,"(0.1, 0.2]",ORS,3,0.03534817956875221,DLE
