,Depth_bin,sample,expression,gene,group
83,0.5-0.6,HC4,0.03444674941315318,IL36RN,HC
84,0.5-0.6,SLE1,0.030220806170366696,IL36RN,SLE
85,0.5-0.6,SLE2,0.32903222439100716,IL36RN,SLE
86,0.5-0.6,SLE3,0.38172981621792784,IL36RN,SLE
87,0.5-0.6,SLE4,0.291225005204304,IL36RN,SLE
88,0.5-0.6,SLE5,0.11724961611825924,IL36RN,SLE
89,0.5-0.6,SLE6,0.10919528103664027,IL36RN,SLE
90,0.6-0.7,DLE1,0.06496823612989085,IL36RN,DLE
91,0.6-0.7,DLE2,1.0409919982347255,IL36RN,DLE
92,0.6-0.7,DLE3,0.5248460801447417,IL36RN,DLE
93,0.6-0.7,DLE4,0.3263856244892035,IL36RN,DLE
94,0.6-0.7,DLE5,0.09563017387624718,IL36RN,DLE
95,0.6-0.7,HC1,0.039505782937033364,IL36RN,HC
96,0.6-0.7,HC2,0.023679484545066586,IL36RN,HC
97,0.6-0.7,HC3,0.01426920897093463,IL36RN,HC
98,0.6-0.7,HC4,0.0,IL36RN,HC
99,0.6-0.7,SLE1,0.012952437081410542,IL36RN,SLE
100,0.6-0.7,SLE2,0.25847706524473796,IL36RN,SLE
101,0.6-0.7,SLE3,0.25058355211471134,IL36RN,SLE
102,0.6-0.7,SLE4,0.20797235902589947,IL36RN,SLE
103,0.6-0.7,SLE5,0.06477299305231315,IL36RN,SLE
104,0.6-0.7,SLE6,0.11464652940629223,IL36RN,SLE
105,0.7-0.8,DLE1,0.02667728861560265,IL36RN,DLE
106,0.7-0.8,DLE2,0.8246284913123701,IL36RN,DLE
107,0.7-0.8,DLE3,0.30823645551385204,IL36RN,DLE
108,0.7-0.8,DLE4,0.2471928478935715,IL36RN,DLE
109,0.7-0.8,DLE5,0.061030919041792815,IL36RN,DLE
110,0.7-0.8,HC1,0.04904939733519919,IL36RN,HC
111,0.7-0.8,HC2,0.02119114855183266,IL36RN,HC
112,0.7-0.8,HC3,0.0036841033194342752,IL36RN,HC
113,0.7-0.8,HC4,0.024184507956499318,IL36RN,HC
114,0.7-0.8,SLE1,0.027698017004902944,IL36RN,SLE
115,0.7-0.8,SLE2,0.16425437583755645,IL36RN,SLE
116,0.7-0.8,SLE3,0.18713503326703457,IL36RN,SLE
117,0.7-0.8,SLE4,0.1264893704511996,IL36RN,SLE
118,0.7-0.8,SLE5,0.07671873452071432,IL36RN,SLE
119,0.7-0.8,SLE6,0.13403283572515,IL36RN,SLE
120,0.8-0.9,DLE1,0.03475873380407955,IL36RN,DLE
121,0.8-0.9,DLE2,0.689504647054795,IL36RN,DLE
122,0.8-0.9,DLE3,0.22743619585333452,IL36RN,DLE
123,0.8-0.9,DLE4,0.24997180911413477,IL36RN,DLE
124,0.8-0.9,DLE5,0.05917321539699358,IL36RN,DLE
